row_type,run_id,dataset_tag,driver_id_hash,source_file_hash,line_no,step,action,wait_reason,query_k,query_minutes,returned_count,actionable_after_query,positive_net_count,missed_window_risk,top_candidate_expired_or_unreachable_count,query_minutes_per_positive_candidate,query_reward,preference_deadline_risk,best_order_net,best_order_per_hour,best_take_id_hash,best_take_delta_official_net_estimate,best_reposition_delta_estimate,contributes_continuous_rest,contributes_full_rest_day,contributes_appointment,contributes_market_timing,contributes_endgame_safety,wait_lock_bug,top20_take_hashes,hard_filter_reasons,reposition_value,qwen_compile_calls
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,56,56,take_order,,50,5,50,26,23,24,24,0.22,780.73,29.63,788.23,66.99,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":24,""severe_negative_net"":2}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,57,57,take_order,,100,10,100,34,26,55,51,0.38,406.84,30.35,421.84,45.33,,,,,,,,,,,"{""below_direct_net_threshold"":8,""filter_load_window_unreachable"":40,""filter_not_online"":11,""filter_remove_slack_too_short"":15}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,58,58,take_order,,50,5,50,24,23,26,25,0.22,885.09,30.88,892.59,43.48,,,,,,,,,,,"{""filter_load_window_unreachable"":25,""filter_remove_slack_too_short"":1,""severe_negative_net"":1}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,59,59,take_order,,100,10,100,39,34,55,49,0.29,867.39,31.58,882.39,45.78,,,,,,,,,,,"{""filter_load_window_unreachable"":43,""filter_not_online"":6,""filter_remove_slack_too_short"":12,""severe_negative_net"":5}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,60,60,take_order,,100,10,100,30,29,68,66,0.34,936.01,32.28,951.01,57.68,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":64,""filter_not_online"":2,""filter_remove_slack_too_short"":4}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,61,61,take_order,,50,5,50,25,21,25,25,0.24,817.93,32.58,825.43,64.4,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":25,""severe_negative_net"":1}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,62,62,take_order,,100,10,100,32,22,63,49,0.45,940.73,33.37,955.73,38.63,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":44,""filter_not_online"":5,""filter_remove_slack_too_short"":19,""severe_negative_net"":7}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,63,63,take_order,,50,5,50,24,20,26,25,0.25,796.09,33.83,803.59,29.71,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":25,""filter_remove_slack_too_short"":1,""severe_negative_net"":4}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,64,64,take_order,,50,5,50,19,15,31,17,0.33,816.78,34.42,824.28,49.79,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":17,""filter_remove_slack_too_short"":14,""severe_negative_net"":3}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,65,65,take_order,,50,5,50,24,22,25,22,0.23,727.57,34.97,735.07,57.04,,,,,,,,,,,"{""filter_load_window_unreachable"":21,""filter_not_online"":1,""filter_remove_slack_too_short"":4,""severe_negative_net"":2}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,66,66,take_order,,50,5,50,14,14,36,31,0.36,493.54,35.61,501.04,54.97,,,,,,,,,,,"{""filter_load_window_unreachable"":31,""filter_remove_slack_too_short"":5}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,67,67,take_order,,50,5,50,14,13,33,25,0.38,414.17,36.06,421.67,29.97,,,,,,,,,,,"{""filter_load_window_unreachable"":22,""filter_not_online"":3,""filter_remove_slack_too_short"":11,""severe_negative_net"":1}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,68,68,take_order,,50,5,50,20,18,28,28,0.28,361.54,36.44,369.04,27.7,,,,,,,,,,,"{""filter_load_window_unreachable"":26,""filter_not_online"":2,""filter_remove_slack_too_short"":2,""severe_negative_net"":2}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,69,69,take_order,,50,5,50,17,16,33,32,0.31,682.65,36.74,690.15,34.49,,,,,,,,,,,"{""filter_load_window_unreachable"":32,""filter_remove_slack_too_short"":1,""severe_negative_net"":1}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,70,70,take_order,,50,5,50,20,15,29,25,0.33,669.96,37.46,677.46,30.93,,,,,,,,,,,"{""below_direct_net_threshold"":4,""filter_load_window_unreachable"":24,""filter_not_online"":1,""filter_remove_slack_too_short"":5,""severe_negative_net"":1}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,71,71,take_order,,50,5,50,20,18,30,28,0.28,652.94,38.1,660.44,51.75,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":28,""filter_remove_slack_too_short"":2}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,72,72,take_order,,50,5,50,18,15,27,23,0.33,947.33,38.84,954.83,62.68,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":18,""filter_not_online"":5,""filter_remove_slack_too_short"":9,""severe_negative_net"":2}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,73,73,take_order,,50,5,50,25,25,25,24,0.2,968.48,39.55,975.98,41.09,,,,,,,,,,,"{""filter_load_window_unreachable"":24,""filter_remove_slack_too_short"":1}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,74,74,take_order,,50,5,50,9,9,38,30,0.56,531.44,40.07,538.94,78.68,,,,,,,,,,,"{""filter_load_window_unreachable"":27,""filter_not_online"":3,""filter_remove_slack_too_short"":11}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,75,75,take_order,,50,5,50,17,16,29,22,0.31,744.54,40.49,752.04,71.85,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":18,""filter_not_online"":4,""filter_remove_slack_too_short"":11}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,76,76,take_order,,50,5,50,16,14,34,32,0.36,546.39,41.04,553.89,35.53,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":32,""filter_remove_slack_too_short"":2,""severe_negative_net"":1}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,77,77,take_order,,50,5,50,20,17,30,29,0.29,473.22,41.4,480.72,77.84,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":29,""filter_remove_slack_too_short"":1,""severe_negative_net"":1}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,78,78,take_order,,50,5,50,13,12,34,22,0.42,710.88,41.81,718.38,90.82,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":19,""filter_not_online"":3,""filter_remove_slack_too_short"":15}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,79,79,take_order,,50,5,50,20,16,28,21,0.31,694.2,42.07,701.7,52.04,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":20,""filter_normalize_failed"":1,""filter_not_online"":1,""filter_remove_slack_too_short"":8,""severe_negative_net"":2}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,80,80,take_order,,50,5,50,26,24,23,21,0.21,512.13,42.39,519.63,36.13,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":21,""filter_normalize_failed"":1,""filter_remove_slack_too_short"":2}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,81,81,take_order,,50,5,50,16,16,34,33,0.31,604.25,42.82,611.75,45.04,,,,,,,,,,,"{""filter_load_window_unreachable"":33,""filter_remove_slack_too_short"":1}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,82,82,take_order,,50,5,50,13,11,33,24,0.45,985.07,43.42,992.57,45.95,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":22,""filter_normalize_failed"":2,""filter_not_online"":2,""filter_remove_slack_too_short"":11}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,83,83,take_order,,50,5,50,17,15,31,29,0.33,498.52,43.85,506.02,58.86,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":27,""filter_not_online"":2,""filter_remove_slack_too_short"":4,""severe_negative_net"":1}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,84,84,take_order,,50,5,50,15,14,35,35,0.36,531.28,44.12,538.78,29.47,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":35}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,85,85,take_order,,50,5,50,19,19,30,19,0.26,945.64,44.8,953.14,86.68,,,,,,,,,,,"{""filter_load_window_unreachable"":18,""filter_not_online"":1,""filter_remove_slack_too_short"":12}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,86,86,take_order,,50,5,50,26,26,23,16,0.19,850.99,45.27,858.49,79.5,,,,,,,,,,,"{""filter_load_window_unreachable"":16,""filter_normalize_failed"":1,""filter_remove_slack_too_short"":7}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,87,87,take_order,,50,5,50,13,12,37,23,0.42,602.72,45.91,610.22,59.53,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":23,""filter_remove_slack_too_short"":14}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,88,88,take_order,,50,5,50,14,12,33,27,0.42,593.61,46.54,601.11,31.21,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":26,""filter_normalize_failed"":2,""filter_not_online"":1,""filter_remove_slack_too_short"":7,""severe_negative_net"":1}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,89,89,take_order,,50,5,50,15,15,30,30,0.33,743.38,46.89,750.88,54.09,,,,,,,,,,,"{""filter_finish_after_horizon"":2,""filter_load_window_unreachable"":28,""filter_normalize_failed"":1,""filter_not_online"":2,""filter_remove_slack_too_short"":2}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,90,90,take_order,,50,5,50,8,8,39,29,0.62,363.19,47.38,370.69,32.65,,,,,,,,,,,"{""filter_finish_after_horizon"":1,""filter_load_window_unreachable"":27,""filter_not_online"":2,""filter_remove_slack_too_short"":12}",[],2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,91,91,wait,,50,5,50,0,0,42,27,5.0,-7.5,48.07,0.0,0.0,,,,,,,,,,,"{""filter_load_window_unreachable"":21,""filter_normalize_failed"":2,""filter_not_online"":6,""filter_remove_slack_too_short"":21}",[],2
wait,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,91,91,wait,no_safe_positive_net_cargo,50,5,50,0,0,42,27,5.0,-7.5,48.07,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,92,92,wait,,50,5,50,0,0,40,23,5.0,-7.5,48.1,0.0,0.0,,,,,,,,,,,"{""filter_finish_after_horizon"":1,""filter_load_window_unreachable"":16,""filter_normalize_failed"":2,""filter_not_online"":7,""filter_remove_slack_too_short"":24}",[],2
wait,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,92,92,wait,no_safe_positive_net_cargo,50,5,50,0,0,40,23,5.0,-7.5,48.1,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,93,93,wait,,50,5,50,0,0,41,20,5.0,-7.5,48.14,0.0,0.0,,,,,,,,,,,"{""filter_load_window_unreachable"":14,""filter_normalize_failed"":3,""filter_not_online"":6,""filter_remove_slack_too_short"":27}",[],2
wait,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,93,93,wait,no_safe_positive_net_cargo,50,5,50,0,0,41,20,5.0,-7.5,48.14,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,94,94,wait,,50,5,50,0,0,42,20,5.0,-7.5,48.17,0.0,0.0,,,,,,,,,,,"{""filter_load_window_unreachable"":14,""filter_normalize_failed"":2,""filter_not_online"":6,""filter_remove_slack_too_short"":28}",[],2
wait,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,94,94,wait,no_safe_positive_net_cargo,50,5,50,0,0,42,20,5.0,-7.5,48.17,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,95,95,wait,,50,5,50,0,0,43,8,5.0,-7.5,48.21,0.0,0.0,,,,,,,,,,,"{""filter_load_window_unreachable"":2,""filter_normalize_failed"":1,""filter_not_online"":6,""filter_remove_slack_too_short"":41}",[],2
wait,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,95,95,wait,no_safe_positive_net_cargo,50,5,50,0,0,43,8,5.0,-7.5,48.21,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,96,96,wait,,50,5,50,0,0,33,16,5.0,-7.5,48.24,0.0,0.0,,,,,,,,,,,"{""filter_normalize_failed"":1,""filter_not_online"":16,""filter_remove_slack_too_short"":33}",[],2
wait,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,3e0e35341231,df3f7a41cb7b,96,96,wait,no_safe_positive_net_cargo,50,5,50,0,0,33,16,5.0,-7.5,48.24,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},2
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,1,1,wait,,50,0,0,0,0,0,0,0.0,0.0,0.6,0.0,0.0,,,,,,,,,,,{},[],3
wait,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,1,1,wait,no_safe_positive_net_cargo,50,0,0,0,0,0,0,0.0,0.0,0.6,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,2,2,take_order,,50,5,50,44,30,6,3,0.17,1180.28,0.76,1187.78,50.54,,,,,,,,,,,"{""below_direct_net_threshold"":5,""filter_load_window_unreachable"":3,""filter_remove_slack_too_short"":3,""severe_negative_net"":9}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,3,3,take_order,,100,10,100,51,45,34,35,0.22,979.0,1.37,994.0,73.54,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":20,""filter_not_online"":15,""filter_remove_slack_too_short"":14,""severe_negative_net"":4}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,4,4,take_order,,100,10,100,44,39,54,48,0.26,828.88,1.88,843.88,45.84,,,,,,,,,,,"{""below_direct_net_threshold"":5,""filter_load_window_unreachable"":46,""filter_not_online"":2,""filter_remove_slack_too_short"":8}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,5,5,take_order,,50,5,50,23,23,27,27,0.22,561.33,2.16,568.83,42.92,,,,,,,,,,,"{""filter_load_window_unreachable"":27}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,6,6,take_order,,50,5,50,22,20,28,21,0.25,855.47,2.51,862.97,58.97,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":21,""filter_remove_slack_too_short"":7}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,7,7,take_order,,100,10,100,42,41,52,40,0.24,918.67,2.85,933.67,68.11,,,,,,,,,,,"{""filter_load_window_unreachable"":34,""filter_not_online"":6,""filter_remove_slack_too_short"":18,""severe_negative_net"":1}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,8,8,take_order,,100,10,100,43,41,53,47,0.24,1100.77,3.29,1115.77,86.22,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":43,""filter_not_online"":4,""filter_remove_slack_too_short"":10,""severe_negative_net"":1}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,9,9,take_order,,50,5,50,24,24,26,24,0.21,534.91,3.66,542.41,42.95,,,,,,,,,,,"{""filter_load_window_unreachable"":24,""filter_remove_slack_too_short"":2}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,10,10,take_order,,50,5,50,23,21,26,22,0.24,1071.03,4.13,1078.53,65.21,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":21,""filter_not_online"":1,""filter_remove_slack_too_short"":5,""severe_negative_net"":1}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,11,11,take_order,,100,10,100,37,34,55,54,0.29,508.26,4.71,523.26,29.14,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":46,""filter_not_online"":8,""filter_remove_slack_too_short"":9,""severe_negative_net"":2}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,12,12,take_order,,50,5,50,23,20,27,26,0.25,870.22,5.05,877.72,45.95,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":26,""filter_remove_slack_too_short"":1,""severe_negative_net"":1}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,13,13,take_order,,100,10,100,38,37,53,40,0.27,946.81,5.61,961.81,81.58,,,,,,,,,,,"{""filter_load_window_unreachable"":31,""filter_not_online"":9,""filter_remove_slack_too_short"":22,""severe_negative_net"":1}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,14,14,take_order,,100,10,100,50,44,48,40,0.23,1142.17,6.19,1157.17,82.72,,,,,,,,,,,"{""filter_load_window_unreachable"":38,""filter_not_online"":2,""filter_remove_slack_too_short"":10,""severe_negative_net"":6}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,15,15,take_order,,50,5,50,28,26,22,22,0.19,916.4,6.71,923.9,52.48,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":22,""severe_negative_net"":1}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,16,16,take_order,,100,10,100,47,34,45,34,0.29,1023.35,7.42,1038.35,64.67,,,,,,,,,,,"{""below_direct_net_threshold"":4,""filter_load_window_unreachable"":26,""filter_not_online"":8,""filter_remove_slack_too_short"":19,""severe_negative_net"":9}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,17,17,take_order,,100,10,100,42,37,55,52,0.27,695.16,7.82,710.16,67.21,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":49,""filter_not_online"":3,""filter_remove_slack_too_short"":6,""severe_negative_net"":2}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,18,18,take_order,,50,5,50,23,20,27,27,0.25,672.21,8.12,679.71,60.6,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":27,""severe_negative_net"":1}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,19,19,take_order,,100,10,100,39,31,53,38,0.32,1221.33,8.87,1236.33,87.17,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":30,""filter_not_online"":8,""filter_remove_slack_too_short"":23,""severe_negative_net"":6}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,20,20,take_order,,100,10,100,50,44,46,44,0.23,1035.98,9.19,1050.98,49.39,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":40,""filter_not_online"":4,""filter_remove_slack_too_short"":6,""severe_negative_net"":5}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,21,21,take_order,,50,5,50,24,22,26,26,0.23,1047.05,9.53,1054.55,63.15,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":26,""severe_negative_net"":1}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,22,22,take_order,,100,10,100,36,32,59,47,0.31,860.34,10.28,875.34,38.2,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":42,""filter_not_online"":5,""filter_remove_slack_too_short"":17,""severe_negative_net"":1}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,23,23,take_order,,100,10,100,40,33,60,58,0.3,1093.6,10.77,1108.6,47.11,,,,,,,,,,,"{""below_direct_net_threshold"":4,""filter_load_window_unreachable"":58,""filter_remove_slack_too_short"":2,""severe_negative_net"":3}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,24,24,take_order,,50,5,50,21,18,29,28,0.28,1063.8,11.12,1071.3,47.97,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":28,""filter_remove_slack_too_short"":1,""severe_negative_net"":1}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,25,25,take_order,,100,10,100,45,40,49,35,0.25,1092.45,11.64,1107.45,98.99,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":29,""filter_not_online"":6,""filter_remove_slack_too_short"":20,""severe_negative_net"":2}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,26,26,take_order,,100,10,100,47,44,50,47,0.23,1103.99,12.12,1118.99,74.15,,,,,,,,,,,"{""below_direct_net_threshold"":4,""filter_load_window_unreachable"":44,""filter_not_online"":3,""filter_remove_slack_too_short"":6}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,27,27,take_order,,50,5,50,16,16,34,33,0.31,878.98,12.4,886.48,55.8,,,,,,,,,,,"{""filter_load_window_unreachable"":33,""filter_remove_slack_too_short"":1}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,28,28,take_order,,100,10,100,45,42,52,34,0.24,1234.15,13.18,1249.15,69.77,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":31,""filter_not_online"":3,""filter_remove_slack_too_short"":21,""severe_negative_net"":1}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,29,29,take_order,,100,10,100,49,48,51,46,0.21,981.81,13.61,996.81,45.63,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":46,""filter_remove_slack_too_short"":5}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,30,30,take_order,,50,5,50,23,21,27,26,0.24,1180.23,13.96,1187.73,107.57,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":26,""filter_remove_slack_too_short"":1,""severe_negative_net"":1}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,31,31,take_order,,100,10,100,34,33,60,42,0.3,1048.7,14.53,1063.7,92.53,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":36,""filter_not_online"":6,""filter_remove_slack_too_short"":24}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,32,32,take_order,,50,5,50,35,31,15,13,0.16,934.18,15.15,941.68,45.7,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":13,""filter_remove_slack_too_short"":2,""severe_negative_net"":2}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,33,33,take_order,,100,10,100,46,30,49,36,0.33,898.21,15.87,913.21,77.16,,,,,,,,,,,"{""below_direct_net_threshold"":4,""filter_load_window_unreachable"":31,""filter_not_online"":5,""filter_remove_slack_too_short"":18,""severe_negative_net"":12}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,34,34,take_order,,100,10,100,48,40,46,40,0.25,893.45,16.31,908.45,54.99,,,,,,,,,,,"{""below_direct_net_threshold"":5,""filter_load_window_unreachable"":34,""filter_not_online"":6,""filter_remove_slack_too_short"":12,""severe_negative_net"":4}",[],3
query,runs/next_build/20260509/dynamic_query_reposition,20260509_reference,983f9a2734ca,0b3bf20b5662,35,35,take_order,,50,5,50,13,12,36,22,0.42,531.25,17.1,538.75,63.38,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":21,""filter_not_online"":1,""filter_remove_slack_too_short"":15}",[],3
